Repository_Description,Contributors_Count,Language_Used
AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,"23,745",Rust
"A tool for secrets management, encryption as a service, and privileged access management","1,282",Go
"🧑‍🚀 Logto helps you build the sign-in, auth, and user identity within minutes. We provide an OIDC-based identity service and the end-user experience with username, phone number, email, and social sign-in, with extendable multi-language support.","24,532",TypeScript
Master programming by recreating your favorite technologies from scratch.,"3,428",C++
An open-source C++ library developed and used at Facebook.,"2,439",Shell
"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more 🏅",66,JavaScript
Short JavaScript code snippets for all your development needs,"155,715",TypeScript
"Learn Domain-Driven Design, software architecture, design patterns, best practices. Code examples included","14,671",Python
A collection of full-stack resources for programmers.,"22,620",Python
[ECCV 2022] XMem: Long-Term Video Object Segmentation with an Atkinson-Shiffrin Memory Model,"4,741",Python
科技爱好者周刊，每周五发布,"67,201",C++
Curated list of project-based tutorials,"6,246",Shell
[ECCV'22 Oral] Towards Grand Unification of Object Tracking,"100,086",TypeScript
"HybridCLR是一个特性完整、零成本、高性能、低内存的近乎完美的Unity全平台原生c#热更方案。 HybridCLR is a fully featured, zero-cost, high-performance, low-memory solution for Unity's all-platform native c# hotfix","10,479",Go
"Prowler is an Open Source security tool to perform AWS security best practices assessments, audits, incident response, continuous monitoring, hardening and forensics readiness. It contains more than 240 controls covering CIS, PCI-DSS, ISO27001, GDPR, HIPAA, FFIEC, SOC2, AWS FTR, ENS and custom security frameworks.","6,265",Elixir
✨✨✨ Geeker Admin，基于 Vue3.2、TypeScript、Vite2、Pinia、Element-Plus 开源的一套后台管理框架。,561,TypeScript
Create beautiful applications using Go,"18,584",TypeScript
A complete computer science study plan to become a software engineer.,"1,656",Python
A self-hosted data logger for your Tesla 🚘,359,TypeScript
The next-gen web framework.,29,Swift
